county_fips,state_name,county_name,mobility_score,ai_exposure
13295,Georgia,Walker,0.41811606,0.6879302
13297,Georgia,Walton,0.42106116,0.1848084
13299,Georgia,Ware,0.39943448,0.3101163
13301,Georgia,Warren,0.36922574,1.217795
13303,Georgia,Washington,0.36860704,1.292944
13305,Georgia,Wayne,0.41413438,-0.2536045
13307,Georgia,Webster,0.45506376,-3.617044
13309,Georgia,Wheeler,0.39901242,-1.482448
13311,Georgia,White,0.44963479,-1.065117
13313,Georgia,Whitfield,0.45893246,-0.6418763
13315,Georgia,Wilcox,0.39783552,3.005186
13317,Georgia,Wilkes,0.39971247,-2.223872
13319,Georgia,Wilkinson,0.40886399,0.6309537
13321,Georgia,Worth,0.38137263,1.5866
15001,Hawaii,Hawaii,0.43412119,0.0343511
15003,Hawaii,Honolulu,0.46615061,0.4758773
15007,Hawaii,Kauai,0.46500349,-0.0767079
15009,Hawaii,Maui,0.47054091,-0.0318035
16001,Idaho,Ada,0.4567937,0.8809481
16003,Idaho,Adams,0.49872333,-0.0262756
16005,Idaho,Bannock,0.44777393,0.8582664
16007,Idaho,Bear Lake,0.55643165,-1.216104
16009,Idaho,Benewah,0.49662179,-1.315565
16011,Idaho,Bingham,0.47763807,-1.139186
16013,Idaho,Blaine,0.50021327,-0.605925
16015,Idaho,Boise,0.46569118,-1.485138
16017,Idaho,Bonner,0.48346591,-0.5598904
16019,Idaho,Bonneville,0.46370092,0.3864377
16021,Idaho,Boundary,0.49687585,-0.8680934
16023,Idaho,Butte,0.48395154,1.36387
16025,Idaho,Camas,,0.5340804
16027,Idaho,Canyon,0.44524714,-1.019517
16029,Idaho,Caribou,0.56522167,-1.056885
16031,Idaho,Cassia,0.50696707,0.2307664
